partido_id,fecha,equipo_local,equipo_visitante,goles_local,goles_visitante,competicion,asistencia
101,2023-09-15,Atlas Sub-20,América Sub-20,2,1,Liga MX Sub-20,5600
102,2023-09-16,Chivas Femenil,Tigres Femenil,0,2,Liga MX Femenil Sub-18,3200
103,2023-09-18,Pumas Sub-20,Santos Sub-20,3,1,Liga MX Sub-20,4800
104,2023-09-19,Monterrey Femenil,Atlas Femenil,1,0,Liga MX Femenil Sub-18,2900
105,2023-09-22,Cruz Azul Sub-20,León Sub-20,2,2,Liga MX Sub-20,5200
106,2023-09-23,León Femenil,Pachuca Femenil,3,2,Liga MX Femenil Sub-18,3500
107,2023-09-25,Toluca Sub-20,Necaxa Sub-20,1,3,Liga MX Sub-20,4200
108,2023-09-26,Tijuana Femenil,América Femenil,1,1,Liga MX Femenil Sub-18,3100
109,2023-09-29,Puebla Sub-20,Tijuana Sub-20,0,2,Liga MX Sub-20,3900
110,2023-09-30,Santos Femenil,Cruz Azul Femenil,2,0,Liga MX Femenil Sub-18,2700
111,2023-10-02,Querétaro Sub-20,Atlas Sub-20,1,4,Liga MX Sub-20,4600
112,2023-10-03,Pumas Femenil,Monterrey Femenil,2,1,Liga MX Femenil Sub-18,3300
113,2023-10-06,Chivas Sub-20,Mazatlán Sub-20,3,0,Liga MX Sub-20,5800
114,2023-10-07,Necaxa Femenil,Guadalajara Femenil,1,2,Liga MX Femenil Sub-18,2800
115,2023-10-09,FC Juárez Sub-20,Atlético San Luis Sub-20,2,2,Liga MX Sub-20,3700
116,2023-10-10,Querétaro Femenil,Mazatlán Femenil,0,1,Liga MX Femenil Sub-18,2400
117,2023-10-13,Tigres Sub-20,Pachuca Sub-20,1,0,Liga MX Sub-20,5400
118,2023-10-14,FC Juárez Femenil,Atlético San Luis Femenil,1,3,Liga MX Femenil Sub-18,2200
119,2023-10-16,León Sub-20,Puebla Sub-20,2,1,Liga MX Sub-20,4100
120,2023-10-17,Puebla Femenil,Tijuana Femenil,2,0,Liga MX Femenil Sub-18,2600
121,2023-10-20,América Sub-20,Santos Sub-20,1,1,Liga MX Sub-20,6200
122,2023-10-21,Monterrey Femenil,León Femenil,0,2,Liga MX Femenil Sub-18,3800
123,2023-10-23,Atlas Sub-20,Cruz Azul Sub-20,3,2,Liga MX Sub-20,5100
124,2023-10-24,Tigres Femenil,Santos Femenil,2,1,Liga MX Femenil Sub-18,3400
125,2023-10-27,Necaxa Sub-20,Pumas Sub-20,0,1,Liga MX Sub-20,4300
126,2023-10-28,Atlas Femenil,Pumas Femenil,1,2,Liga MX Femenil Sub-18,2900
127,2023-10-30,Toluca Sub-20,Chivas Sub-20,2,3,Liga MX Sub-20,5700
128,2023-10-31,Pachuca Femenil,Chivas Femenil,1,0,Liga MX Femenil Sub-18,3200
129,2023-11-03,Mazatlán Sub-20,Querétaro Sub-20,1,0,Liga MX Sub-20,3800
130,2023-11-04,Guadalajara Femenil,Necaxa Femenil,3,1,Liga MX Femenil Sub-18,2500
131,2023-11-06,Atlético San Luis Sub-20,Tigres Sub-20,2,1,Liga MX Sub-20,4400
132,2023-11-07,Mazatlán Femenil,FC Juárez Femenil,0,0,Liga MX Femenil Sub-18,2100
133,2023-11-10,Pachuca Sub-20,FC Juárez Sub-20,3,0,Liga MX Sub-20,4700
134,2023-11-11,Atlético San Luis Femenil,Puebla Femenil,2,2,Liga MX Femenil Sub-18,2300
135,2023-11-13,Santos Sub-20,Toluca Sub-20,1,2,Liga MX Sub-20,4900
136,2023-11-14,Cruz Azul Femenil,Monterrey Femenil,1,1,Liga MX Femenil Sub-18,3100
137,2023-11-17,León Sub-20,Atlas Sub-20,0,1,Liga MX Sub-20,5300
138,2023-11-18,León Femenil,Tigres Femenil,2,3,Liga MX Femenil Sub-18,3600
139,2023-11-20,Tijuana Sub-20,Necaxa Sub-20,2,0,Liga MX Sub-20,3900
140,2023-11-21,Tijuana Femenil,Pachuca Femenil,0,1,Liga MX Femenil Sub-18,2700
141,2023-11-24,Puebla Sub-20,Mazatlán Sub-20,1,1,Liga MX Sub-20,3600
142,2023-11-25,América Femenil,Atlas Femenil,2,0,Liga MX Femenil Sub-18,3300
143,2023-11-27,Cruz Azul Sub-20,Chivas Sub-20,0,2,Liga MX Sub-20,6500
144,2023-11-28,Santos Femenil,Guadalajara Femenil,1,2,Liga MX Femenil Sub-18,2800
145,2023-12-01,Pumas Sub-20,Atlético San Luis Sub-20,2,1,Liga MX Sub-20,4500
146,2023-12-02,Pumas Femenil,Cruz Azul Femenil,0,1,Liga MX Femenil Sub-18,2900
147,2023-12-04,América Sub-20,Tigres Sub-20,1,0,Liga MX Sub-20,5900
148,2023-12-05,Chivas Femenil,Monterrey Femenil,3,1,Liga MX Femenil Sub-18,3500
149,2023-12-08,Querétaro Sub-20,Pachuca Sub-20,1,2,Liga MX Sub-20,4000
150,2023-12-09,Querétaro Femenil,Atlético San Luis Femenil,2,1,Liga MX Femenil Sub-18,2200